side,entry_ts,entry,stop,tp,exit_ts,exit,reason,r_mult
SHORT,1767587400000,92378.74,92512.82,92164.21,1767588000000,92568.33,STOP,-1.414
SHORT,1767592200000,92426.11,92535.37,92251.29,1767594300000,92306.65,TP,1.093
LONG,1767597300000,92639.75,92539.72,92799.79,1767597300000,92484.2,STOP,-1.555
LONG,1767600600000,92665.47,92593.6,92780.45,1767600600000,92538.04,STOP,-1.773
LONG,1767601500000,92767.13,92692.84,92885.99,1767601500000,92637.22,STOP,-1.749
SHORT,1767602700000,92388.43,92467.25,92262.33,1767602700000,92522.73,STOP,-1.704
SHORT,1767603900000,92269.01,92359.32,92124.51,1767603900000,92414.73,STOP,-1.614
LONG,1767605400000,92662.26,92564.27,92819.05,1767605400000,92508.74,STOP,-1.567
LONG,1767606600000,92801.55,92700.26,92963.61,1767606600000,92644.64,STOP,-1.549
LONG,1767608100000,92927.42,92824.96,93091.36,1767608400000,92769.27,STOP,-1.544
LONG,1767610500000,93156.36,93037.11,93347.16,1767610500000,92981.29,STOP,-1.468
SHORT,1767617100000,92717.64,92823.65,92548.01,1767617100000,92879.35,STOP,-1.525
SHORT,1767620700000,92505.46,92615.77,92328.97,1767620700000,92671.34,STOP,-1.504
LONG,1767624300000,93325.96,93147.46,93611.56,1767624300000,93091.57,STOP,-1.313
