side,entry_ts,entry,stop,tp,exit_ts,exit,reason,r_mult
SHORT,1767587400000,92378.74,92539.63,92110.58,1767588600000,92595.16,STOP,-1.345
SHORT,1767594600000,92184.56,92310.27,91975.03,1767594900000,92365.66,STOP,-1.441
LONG,1767601500000,92767.13,92677.98,92915.71,1767601500000,92622.37,STOP,-1.624
SHORT,1767603900000,92269.01,92377.38,92088.39,1767603900000,92432.8,STOP,-1.511
LONG,1767608100000,92927.42,92804.47,93132.34,1767609000000,92748.79,STOP,-1.453
LONG,1767610500000,93156.36,93013.26,93394.86,1767610800000,92957.45,STOP,-1.39
SHORT,1767617100000,92717.64,92844.86,92505.6,1767617700000,92900.56,STOP,-1.438
SHORT,1767620700000,92505.46,92637.83,92284.85,1767621000000,92693.42,STOP,-1.42
LONG,1767624300000,93325.96,93111.76,93682.96,1767624300000,93055.89,STOP,-1.261
